"LOCID" "description" "feature"
"35005" "LOC117693089" "uncharacterized LOC117693089_ncRNA" "mito"
"35006" "Trnag-ucc_8" NA "mito"
"35007" "Trnag-ucc_9" NA "mito"
"35008" "Trnag-ucc_10" NA "mito"
"35009" "LOC117692812" "uncharacterized LOC117692812_ncRNA" "mito"
"35010" "LOC117692655" "uncharacterized LOC117692655_ncRNA" "mito"
"35011" "LOC117692781" "uncharacterized LOC117692781_ncRNA" "mito"
"35012" "LOC117692510" "uncharacterized LOC117692510_ncRNA" "mito"
"35013" "LOC117692511" "uncharacterized LOC117692511_ncRNA" "mito"
"35014" "LOC117692513" "uncharacterized LOC117692513_ncRNA" "mito"
"35015" "LOC117692516" "uncharacterized LOC117692516_ncRNA" "mito"
"35016" "LOC105326206" "uncharacterized LOC105326206_ncRNA" "mito"
"35017" "LOC105326207" "uncharacterized LOC105326207_ncRNA" "mito"
"35018" "LOC117692517" "uncharacterized LOC117692517_ncRNA" "mito"
"35019" "LOC117692518" "uncharacterized LOC117692518_ncRNA" "mito"
"35020" "LOC117692519" "uncharacterized LOC117692519_ncRNA" "mito"
"35021" "LOC117692520" "uncharacterized LOC117692520_ncRNA" "mito"
"35022" "LOC117692522" "uncharacterized LOC117692522_ncRNA" "mito"
"35023" "LOC117692524" "uncharacterized LOC117692524_ncRNA" "mito"
"35024" "LOC117692525" "uncharacterized LOC117692525_ncRNA" "mito"
"35025" "LOC105319370" "uncharacterized LOC105319370_ncRNA" "mito"
"35026" "LOC105343322" "uncharacterized LOC105343322_ncRNA" "mito"
"35027" "LOC105326515" "uncharacterized LOC105326515_ncRNA" "mito"
"35028" "LOC117692970" "uncharacterized LOC117692970_ncRNA" "mito"
"35029" "Trnal-cag_1" NA "mito"
"35030" "Trnal-cag_2" NA "mito"
"35031" "Trnan-guu_6" NA "mito"
"35032" "Trnal-cag_3" NA "mito"
"35033" "Trnan-guu_7" NA "mito"
"35034" "Trnal-cag_4" NA "mito"
"35035" "Trnan-guu_8" NA "mito"
"35036" "Trnal-cag_5" NA "mito"
"35037" "Trnan-guu_9" NA "mito"
"35038" "Trnal-cag_6" NA "mito"
"35039" "Trnan-guu_10" NA "mito"
"35040" "Trnal-cag_7" NA "mito"
"35041" "Trnan-guu_11" NA "mito"
"35042" "Trnal-cag_8" NA "mito"
"35043" "Trnan-guu_12" NA "mito"
"35044" "Trnal-cag_9" NA "mito"
"35045" "Trnan-guu_13" NA "mito"
"35046" "Trnal-cag_10" NA "mito"
"35047" "Trnan-guu_14" NA "mito"
"35048" "Trnal-cag_11" NA "mito"
"35049" "Trnan-guu_15" NA "mito"
"35050" "Trnal-cag_12" NA "mito"
"35051" "Trnan-guu_16" NA "mito"
"35052" "Trnal-cag_13" NA "mito"
"35053" "Trnan-guu_17" NA "mito"
"35054" "Trnal-cag_14" NA "mito"
"35055" "Trnan-guu_18" NA "mito"
"35056" "Trnal-cag_15" NA "mito"
"35057" "Trnan-guu_19" NA "mito"
"35058" "Trnal-cag_16" NA "mito"
"35059" "Trnan-guu_20" NA "mito"
"35060" "Trnal-cag_17" NA "mito"
"35061" "Trnan-guu_21" NA "mito"
"35062" "Trnal-cag_18" NA "mito"
"35063" "Trnan-guu_22" NA "mito"
"35064" "Trnal-cag_19" NA "mito"
"35065" "Trnan-guu_23" NA "mito"
"35066" "Trnal-cag_20" NA "mito"
"35067" "Trnan-guu_24" NA "mito"
"35068" "Trnal-cag_21" NA "mito"
"35069" "Trnal-cag_22" NA "mito"
"35070" "Trnan-guu_25" NA "mito"
"35071" "Trnal-cag_23" NA "mito"
"35072" "Trnan-guu_26" NA "mito"
"35073" "Trnav-aac_2" NA "mito"
"35074" "Trnav-uac_2" NA "mito"
"35075" "LOC117692973" "uncharacterized LOC117692973_ncRNA" "mito"
"35076" "Trnat-cgu_3" NA "mito"
"35077" "Trnat-ugu_3" NA "mito"
"35078" "LOC117692924" "uncharacterized LOC117692924_ncRNA" "mito"
"35079" "LOC109619869" "uncharacterized LOC109619869_ncRNA" "mito"
"35080" "LOC105337288" "uncharacterized LOC105337288_ncRNA" "mito"
"35081" "LOC117692743" "uncharacterized LOC117692743_ncRNA" "mito"
"35082" "LOC117692748" "uncharacterized LOC117692748_ncRNA" "mito"
"35083" "LOC117692747" "uncharacterized LOC117692747_ncRNA" "mito"
"35084" "LOC105342158" "uncharacterized LOC105342158_ncRNA" "mito"
"35085" "LOC117692749" "uncharacterized LOC117692749_ncRNA" "mito"
"35086" "LOC117692750" "uncharacterized LOC117692750_ncRNA" "mito"
"35087" "LOC109618983" "uncharacterized LOC109618983_ncRNA" "mito"
"35088" "LOC105330185" "uncharacterized LOC105330185_ncRNA" "mito"
"35089" "LOC117692751" "uncharacterized LOC117692751_ncRNA" "mito"
"35090" "LOC105324812" "uncharacterized LOC105324812_ncRNA" "mito"
"35091" "LOC117692364" "uncharacterized LOC117692364_ncRNA" "mito"
"35092" "LOC117692365" "uncharacterized LOC117692365_ncRNA" "mito"
"35093" "LOC117692366" "uncharacterized LOC117692366_ncRNA" "mito"
"35094" "LOC117692367" "uncharacterized LOC117692367_ncRNA" "mito"
"35095" "LOC117692371" "uncharacterized LOC117692371_ncRNA" "mito"
"35096" "LOC117692374" "uncharacterized LOC117692374_ncRNA" "mito"
"35097" "LOC117692376" "uncharacterized LOC117692376_ncRNA" "mito"
"35098" "LOC105340195" "uncharacterized LOC105340195_ncRNA" "mito"
"35099" "LOC117680811" "U4atac minor spliceosomal RNA_ncRNA" "mito"
"35100" "LOC109618196" "uncharacterized LOC109618196_ncRNA" "mito"
"35101" "Trnar-ucg_4" NA "mito"
"35102" "LOC105333467" "uncharacterized LOC105333467_ncRNA" "mito"
"35103" "LOC117692379" "uncharacterized LOC117692379_ncRNA" "mito"
"35104" "LOC105326364" "uncharacterized LOC105326364_ncRNA" "mito"
"35105" "LOC117692382" "uncharacterized LOC117692382_ncRNA" "mito"
"35106" "LOC109617354" "uncharacterized LOC109617354_ncRNA" "mito"
"35107" "LOC105335469" "uncharacterized LOC105335469_ncRNA" "mito"
"35108" "LOC109619665" "uncharacterized LOC109619665_ncRNA" "mito"
"35109" "LOC105335468" "uncharacterized LOC105335468_ncRNA" "mito"
"35110" "Trnas-aga_17" NA "mito"
"35111" "LOC117692390" "uncharacterized LOC117692390_ncRNA" "mito"
"35112" "LOC117692392" "uncharacterized LOC117692392_ncRNA" "mito"
"35113" "LOC117692393" "uncharacterized LOC117692393_ncRNA" "mito"
"35114" "LOC117692399" "uncharacterized LOC117692399_ncRNA" "mito"
"35115" "LOC117692402" "uncharacterized LOC117692402_ncRNA" "mito"
"35116" "LOC117692404" "uncharacterized LOC117692404_ncRNA" "mito"
"35117" "LOC105317657" "uncharacterized LOC105317657_ncRNA" "mito"
"35118" "LOC117680760" "uncharacterized LOC117680760_ncRNA" "mito"
"35119" "LOC117680763" "uncharacterized LOC117680763_ncRNA" "mito"
"35120" "LOC117692720" "uncharacterized LOC117692720_ncRNA" "mito"
"35121" "LOC105324862" "uncharacterized LOC105324862_ncRNA" "mito"
"35122" "LOC117692722" "uncharacterized LOC117692722_ncRNA" "mito"
"35123" "LOC117692723" "uncharacterized LOC117692723_ncRNA" "mito"
"35124" "LOC109618944" "uncharacterized LOC109618944_ncRNA" "mito"
"35125" "LOC105334371" "uncharacterized LOC105334371_ncRNA" "mito"
"35126" "LOC117692729" "uncharacterized LOC117692729_ncRNA" "mito"
"35127" "LOC105335551" "uncharacterized LOC105335551_ncRNA" "mito"
"35128" "LOC105335557" "uncharacterized LOC105335557_ncRNA" "mito"
"35129" "LOC117692732" "uncharacterized LOC117692732_ncRNA" "mito"
"35130" "LOC105319947" "uncharacterized LOC105319947_misc_RNA" "mito"
"35131" "LOC109620453" "uncharacterized LOC109620453_ncRNA" "mito"
"35132" "LOC117692733" "uncharacterized LOC117692733_ncRNA" "mito"
"35133" "LOC117692734" "uncharacterized LOC117692734_ncRNA" "mito"
"35134" "LOC117692735" "uncharacterized LOC117692735_ncRNA" "mito"
"35135" "LOC117692737" "uncharacterized LOC117692737_ncRNA" "mito"
"35136" "Trnaf-gaa_4" NA "mito"
"35137" "Trnaf-gaa_5" NA "mito"
"35138" "Trnaf-gaa_6" NA "mito"
"35139" "Trnaf-gaa_7" NA "mito"
"35140" "LOC117692355" "uncharacterized LOC117692355_ncRNA" "mito"
"35141" "Trnaf-gaa_8" NA "mito"
"35142" "Trnaf-gaa_9" NA "mito"
"35143" "Trnaf-gaa_10" NA "mito"
"35144" "LOC117692356" "uncharacterized LOC117692356_ncRNA" "mito"
"35145" "Trnaf-gaa_11" NA "mito"
"35146" "LOC105345869" "uncharacterized LOC105345869_ncRNA" "mito"
"35147" "LOC117692357" "uncharacterized LOC117692357_ncRNA" "mito"
"35148" "LOC105345882" "uncharacterized LOC105345882_ncRNA" "mito"
"35149" "LOC117680775" "uncharacterized LOC117680775_ncRNA" "mito"
"35150" "LOC109618885" "uncharacterized LOC109618885_misc_RNA" "mito"
"35151" "LOC105317211" "uncharacterized LOC105317211_transcript variant X1, misc_RNA" "mito"
"35152" "LOC105344572" "uncharacterized LOC105344572_ncRNA" "mito"
"35153" "Trnat-ggu_13" NA "mito"
"35154" "LOC117680779" "uncharacterized LOC117680779_ncRNA" "mito"
"35155" "LOC105324519" "uncharacterized LOC105324519_ncRNA" "mito"
"35156" "LOC117680780" "uncharacterized LOC117680780_ncRNA" "mito"
"35157" "LOC117680783" "uncharacterized LOC117680783_ncRNA" "mito"
"35158" "LOC117680784" "uncharacterized LOC117680784_ncRNA" "mito"
"35159" "LOC117680786" "uncharacterized LOC117680786_ncRNA" "mito"
"35160" "LOC117680788" "uncharacterized LOC117680788_ncRNA" "mito"
"35161" "LOC117680789" "uncharacterized LOC117680789_ncRNA" "mito"
"35162" "LOC117680790" "uncharacterized LOC117680790_ncRNA" "mito"
"35163" "LOC105336021" "uncharacterized LOC105336021_ncRNA" "mito"
"35164" "LOC117680804" "U1 spliceosomal RNA_ncRNA" "mito"
"35165" "LOC117693155" "uncharacterized LOC117693155_ncRNA" "mito"
"35166" "LOC117680687" "uncharacterized LOC117680687_ncRNA" "mito"
"35167" "LOC117680686" "uncharacterized LOC117680686_ncRNA" "mito"
"35168" "LOC109620401" "uncharacterized LOC109620401_ncRNA" "mito"
"35169" "LOC117680691" "uncharacterized LOC117680691_ncRNA" "mito"
"35170" "LOC105341846" "uncharacterized LOC105341846_ncRNA" "mito"
"35171" "LOC117680693" "uncharacterized LOC117680693_ncRNA" "mito"
"35172" "LOC105338042" "uncharacterized LOC105338042_ncRNA" "mito"
"35173" "Trnah-gug_6" NA "mito"
"35174" "LOC117680698" "uncharacterized LOC117680698_ncRNA" "mito"
"35175" "LOC109620838" "uncharacterized LOC109620838_ncRNA" "mito"
"35176" "LOC117680699" "uncharacterized LOC117680699_ncRNA" "mito"
"35177" "LOC109620591" "uncharacterized LOC109620591_ncRNA" "mito"
"35178" "LOC105343297" "uncharacterized LOC105343297_ncRNA" "mito"
"35179" "LOC117680706" "uncharacterized LOC117680706_ncRNA" "mito"
"35180" "LOC117680339" "uncharacterized LOC117680339_ncRNA" "mito"
"35181" "LOC117680711" "uncharacterized LOC117680711_ncRNA" "mito"
"35182" "LOC109618904" "uncharacterized LOC109618904_ncRNA" "mito"
"35183" "LOC117680725" "uncharacterized LOC117680725_ncRNA" "mito"
"35184" "LOC117680729" "uncharacterized LOC117680729_ncRNA" "mito"
"35185" "LOC117680731" "uncharacterized LOC117680731_ncRNA" "mito"
"35186" "LOC117680733" "uncharacterized LOC117680733_ncRNA" "mito"
"35187" "LOC117680735" "uncharacterized LOC117680735_ncRNA" "mito"
"35188" "LOC109618461" "uncharacterized LOC109618461_ncRNA" "mito"
"35189" "LOC117680740" "uncharacterized LOC117680740_ncRNA" "mito"
"35190" "LOC117680742" "uncharacterized LOC117680742_ncRNA" "mito"
"35191" "LOC105343376" "uncharacterized LOC105343376_ncRNA" "mito"
"35192" "LOC105338736" "uncharacterized LOC105338736_ncRNA" "mito"
"35193" "LOC109620057" "uncharacterized LOC109620057_ncRNA" "mito"
"35194" "LOC105338733" "uncharacterized LOC105338733_ncRNA" "mito"
"35195" "LOC117680745" "uncharacterized LOC117680745_ncRNA" "mito"
"35196" "LOC117680752" "uncharacterized LOC117680752_ncRNA" "mito"
"35197" "LOC117680751" "uncharacterized LOC117680751_ncRNA" "mito"
"35198" "LOC117680755" "uncharacterized LOC117680755_ncRNA" "mito"
"35199" "LOC117693047" "uncharacterized LOC117693047_ncRNA" "mito"
"35200" "LOC105325049" "uncharacterized LOC105325049_ncRNA" "mito"
"35201" "LOC105325050" "uncharacterized LOC105325050_ncRNA" "mito"
"35202" "LOC105325051" "uncharacterized LOC105325051_ncRNA" "mito"
"35203" "LOC117693049" "uncharacterized LOC117693049_ncRNA" "mito"
"35204" "LOC105331202" "uncharacterized LOC105331202_ncRNA" "mito"
"35205" "LOC105331203" "uncharacterized LOC105331203_ncRNA" "mito"
"35206" "LOC109619113" "uncharacterized LOC109619113_ncRNA" "mito"
"35207" "LOC109619179" "uncharacterized LOC109619179_ncRNA" "mito"
"35208" "LOC117693050" "uncharacterized LOC117693050_ncRNA" "mito"
"35209" "Trnaq-cug_14" NA "mito"
"35210" "Trnaq-uug_4" NA "mito"
"35211" "LOC117693054" "uncharacterized LOC117693054_ncRNA" "mito"
"35212" "LOC117693056" "uncharacterized LOC117693056_ncRNA" "mito"
"35213" "LOC109618889" "uncharacterized LOC109618889_ncRNA" "mito"
"35214" "LOC105343375" "uncharacterized LOC105343375_ncRNA" "mito"
"35215" "LOC117693058" "uncharacterized LOC117693058_ncRNA" "mito"
"35216" "LOC109618890" "uncharacterized LOC109618890_ncRNA" "mito"
"35217" "LOC117693059" "uncharacterized LOC117693059_ncRNA" "mito"
"35218" "LOC117693060" "uncharacterized LOC117693060_ncRNA" "mito"
"35219" "LOC117693064" "uncharacterized LOC117693064_ncRNA" "mito"
"35220" "LOC109617594" "uncharacterized LOC109617594_ncRNA" "mito"
"35221" "LOC117693068" "uncharacterized LOC117693068_ncRNA" "mito"
"35222" "LOC117693070" "uncharacterized LOC117693070_ncRNA" "mito"
"35223" "LOC109617348" "uncharacterized LOC109617348_ncRNA" "mito"
"35224" "LOC105347096" "uncharacterized LOC105347096_ncRNA" "mito"
"35225" "LOC117693071" "uncharacterized LOC117693071_ncRNA" "mito"
"35226" "LOC105340259" "uncharacterized LOC105340259_ncRNA" "mito"
"35227" "LOC105336489" "uncharacterized LOC105336489_ncRNA" "mito"
"35228" "LOC105331378" "uncharacterized LOC105331378_ncRNA" "mito"
"35229" "LOC109617984" "uncharacterized LOC109617984_ncRNA" "mito"
"35230" "LOC105322945" "uncharacterized LOC105322945_ncRNA" "mito"
"35231" "LOC105322948" "uncharacterized LOC105322948_ncRNA" "mito"
"35232" "LOC117693079" "uncharacterized LOC117693079_ncRNA" "mito"
"35233" "LOC105330458" "uncharacterized LOC105330458_misc_RNA" "mito"
"35234" "LOC105330459" "uncharacterized LOC105330459_ncRNA" "mito"
"35235" "LOC117692527" "uncharacterized LOC117692527_ncRNA" "mito"
"35236" "LOC105321593" "uncharacterized LOC105321593_ncRNA" "mito"
"35237" "LOC117692529" "uncharacterized LOC117692529_ncRNA" "mito"
"35238" "LOC117692531" "uncharacterized LOC117692531_ncRNA" "mito"
"35239" "LOC117692532" "uncharacterized LOC117692532_ncRNA" "mito"
"35240" "LOC105344311" "uncharacterized LOC105344311_ncRNA" "mito"
"35241" "LOC105344315" "uncharacterized LOC105344315_misc_RNA" "mito"
"35242" "LOC117692533" "uncharacterized LOC117692533_ncRNA" "mito"
"35243" "LOC117692536" "uncharacterized LOC117692536_ncRNA" "mito"
"35244" "LOC117692537" "uncharacterized LOC117692537_ncRNA" "mito"
"35245" "LOC117692538" "uncharacterized LOC117692538_ncRNA" "mito"
"35246" "LOC117692539" "uncharacterized LOC117692539_ncRNA" "mito"
"35247" "LOC117692540" "uncharacterized LOC117692540_ncRNA" "mito"
"35248" "Trnah-gug_7" NA "mito"
"35249" "Trnah-gug_8" NA "mito"
"35250" "Trnaq-uug_5" NA "mito"
"35251" "LOC117692480" "uncharacterized LOC117692480_ncRNA" "mito"
"35252" "LOC117692481" "uncharacterized LOC117692481_ncRNA" "mito"
"35253" "LOC109617621" "uncharacterized LOC109617621_ncRNA" "mito"
"35254" "LOC117692487" "uncharacterized LOC117692487_ncRNA" "mito"
"35255" "LOC117692488" "uncharacterized LOC117692488_ncRNA" "mito"
"35256" "LOC117692492" "uncharacterized LOC117692492_ncRNA" "mito"
"35257" "LOC117692493" "uncharacterized LOC117692493_ncRNA" "mito"
"35258" "LOC105325554" "uncharacterized LOC105325554_ncRNA" "mito"
"35259" "LOC117692495" "uncharacterized LOC117692495_ncRNA" "mito"
"35260" "LOC117692498" "uncharacterized LOC117692498_ncRNA" "mito"
"35261" "LOC109618962" "uncharacterized LOC109618962_ncRNA" "mito"
"35262" "LOC117692499" "uncharacterized LOC117692499_ncRNA" "mito"
"35263" "LOC105332037" "uncharacterized LOC105332037_ncRNA" "mito"
"35264" "LOC105338474" "uncharacterized LOC105338474_ncRNA" "mito"
"35265" "LOC105332035" "uncharacterized LOC105332035_ncRNA" "mito"
"35266" "LOC109618866" "uncharacterized LOC109618866_ncRNA" "mito"
"35267" "LOC117692506" "uncharacterized LOC117692506_ncRNA" "mito"
"35268" "LOC105347591" "uncharacterized LOC105347591_ncRNA" "mito"
"35269" "LOC109620905" "uncharacterized LOC109620905_ncRNA" "mito"
"35270" "LOC117692507" "uncharacterized LOC117692507_ncRNA" "mito"
"35271" "LOC105349077" "uncharacterized LOC105349077_ncRNA" "mito"
"35272" "Trnas-aga_18" NA "mito"
"35273" "Trnal-aag_2" NA "mito"
"35274" "LOC105326067" "uncharacterized LOC105326067_ncRNA" "mito"
"35275" "LOC105326202" "uncharacterized LOC105326202_ncRNA" "mito"
"35276" "LOC117692907" "uncharacterized LOC117692907_ncRNA" "mito"
"35277" "LOC117692909" "uncharacterized LOC117692909_ncRNA" "mito"
"35278" "LOC105335619" "uncharacterized LOC105335619_ncRNA" "mito"
"35279" "LOC117692983" "uncharacterized LOC117692983_ncRNA" "mito"
"35280" "LOC109617316" "uncharacterized LOC109617316_ncRNA" "mito"
"35281" "LOC109617315" "uncharacterized LOC109617315_ncRNA" "mito"
"35282" "LOC105317774" "uncharacterized LOC105317774_ncRNA" "mito"
"35283" "LOC105317778" "uncharacterized LOC105317778_ncRNA" "mito"
"35284" "LOC117692985" "uncharacterized LOC117692985_ncRNA" "mito"
"35285" "LOC117692657" "uncharacterized LOC117692657_ncRNA" "mito"
"35286" "LOC117692659" "uncharacterized LOC117692659_ncRNA" "mito"
"35287" "LOC105321496" "uncharacterized LOC105321496_ncRNA" "mito"
"35288" "LOC117692660" "uncharacterized LOC117692660_ncRNA" "mito"
"35289" "LOC117692661" "uncharacterized LOC117692661_ncRNA" "mito"
"35290" "LOC105325559" "uncharacterized LOC105325559_ncRNA" "mito"
"35291" "LOC117692669" "uncharacterized LOC117692669_ncRNA" "mito"
"35292" "LOC117692670" "uncharacterized LOC117692670_ncRNA" "mito"
"35293" "LOC105320986" "uncharacterized LOC105320986_ncRNA" "mito"
"35294" "LOC117692668" "uncharacterized LOC117692668_ncRNA" "mito"
"35295" "LOC117692667" "uncharacterized LOC117692667_ncRNA" "mito"
"35296" "LOC105320913" "uncharacterized LOC105320913_ncRNA" "mito"
"35297" "LOC117692675" "uncharacterized LOC117692675_ncRNA" "mito"
"35298" "LOC117692674" "uncharacterized LOC117692674_ncRNA" "mito"
"35299" "LOC117692676" "uncharacterized LOC117692676_ncRNA" "mito"
"35300" "LOC117692677" "uncharacterized LOC117692677_ncRNA" "mito"
"35301" "LOC117692928" "uncharacterized LOC117692928_ncRNA" "mito"
"35302" "LOC109620101" "uncharacterized LOC109620101_ncRNA" "mito"
"35303" "LOC105338623" "uncharacterized LOC105338623_ncRNA" "mito"
"35304" "LOC117692935" "uncharacterized LOC117692935_ncRNA" "mito"
"35305" "LOC117692941" "uncharacterized LOC117692941_ncRNA" "mito"
"35306" "LOC117692943" "uncharacterized LOC117692943_ncRNA" "mito"
"35307" "LOC117692942" "uncharacterized LOC117692942_ncRNA" "mito"
"35308" "LOC109619545" "uncharacterized LOC109619545_ncRNA" "mito"
"35309" "LOC117692944" "uncharacterized LOC117692944_ncRNA" "mito"
"35310" "LOC117693179" "uncharacterized LOC117693179_ncRNA" "mito"
"35311" "LOC117693181" "uncharacterized LOC117693181_ncRNA" "mito"
"35312" "LOC105337917" "uncharacterized LOC105337917_ncRNA" "mito"
"35313" "LOC117693184" "uncharacterized LOC117693184_ncRNA" "mito"
"35314" "LOC117693185" "uncharacterized LOC117693185_ncRNA" "mito"
"35315" "LOC117693186" "uncharacterized LOC117693186_ncRNA" "mito"
"35316" "LOC105335212" "uncharacterized LOC105335212_ncRNA" "mito"
"35317" "LOC109620394" "uncharacterized LOC109620394_ncRNA" "mito"
"35318" "LOC117680674" "uncharacterized LOC117680674_ncRNA" "mito"
"35319" "LOC117680675" "uncharacterized LOC117680675_ncRNA" "mito"
"35320" "LOC117680676" "uncharacterized LOC117680676_ncRNA" "mito"
"35321" "Trnaf-gaa_12" NA "mito"
"35322" "Trnaf-gaa_13" NA "mito"
"35323" "Trnaf-gaa_14" NA "mito"
"35324" "LOC117680681" "uncharacterized LOC117680681_ncRNA" "mito"
"35325" "LOC117680684" "uncharacterized LOC117680684_ncRNA" "mito"
"35326" "LOC117692993" "uncharacterized LOC117692993_ncRNA" "mito"
"35327" "LOC117692994" "uncharacterized LOC117692994_ncRNA" "mito"
"35328" "LOC117692995" "uncharacterized LOC117692995_ncRNA" "mito"
"35329" "LOC105334445" "uncharacterized LOC105334445_ncRNA" "mito"
"35330" "LOC105334415" "uncharacterized LOC105334415_ncRNA" "mito"
"35331" "Trnar-ucg_5" NA "mito"
"35332" "LOC117692999" "uncharacterized LOC117692999_ncRNA" "mito"
"35333" "LOC117693001" "uncharacterized LOC117693001_ncRNA" "mito"
"35334" "LOC117693003" "uncharacterized LOC117693003_ncRNA" "mito"
"35335" "LOC105344029" "uncharacterized LOC105344029_ncRNA" "mito"
"35336" "LOC117692508" "uncharacterized LOC117692508_ncRNA" "mito"
"35337" "LOC117692974" "uncharacterized LOC117692974_ncRNA" "mito"
"35338" "LOC117692779" "uncharacterized LOC117692779_ncRNA" "mito"
"35339" "LOC105325794" "uncharacterized LOC105325794_ncRNA" "mito"
"35340" "LOC117681769" "uncharacterized LOC117681769_ncRNA" "mito"
"35341" "LOC117681770" "uncharacterized LOC117681770_ncRNA" "mito"
"35342" "LOC117681771" "uncharacterized LOC117681771_ncRNA" "mito"
"35343" "LOC117681937" "U8 small nucleolar RNA_ncRNA" "mito"
"35344" "LOC105332315" "uncharacterized LOC105332315_ncRNA" "mito"
"35345" "LOC105336608" "uncharacterized LOC105336608_ncRNA" "mito"
"35346" "LOC117681159" "uncharacterized LOC117681159_ncRNA" "mito"
"35347" "LOC117681160" "uncharacterized LOC117681160_ncRNA" "mito"
"35348" "LOC109618241" "uncharacterized LOC109618241_ncRNA" "mito"
"35349" "LOC105336625" "uncharacterized LOC105336625_ncRNA" "mito"
"35350" "LOC117681163" "uncharacterized LOC117681163_ncRNA" "mito"
"35351" "LOC117681169" "uncharacterized LOC117681169_ncRNA" "mito"
"35352" "LOC109619464" "uncharacterized LOC109619464_ncRNA" "mito"
"35353" "LOC117681172" "uncharacterized LOC117681172_ncRNA" "mito"
"35354" "LOC105339201" "uncharacterized LOC105339201_ncRNA" "mito"
"35355" "LOC105346843" "uncharacterized LOC105346843_ncRNA" "mito"
"35356" "LOC117681174" "uncharacterized LOC117681174_ncRNA" "mito"
"35357" "LOC105346841" "uncharacterized LOC105346841_ncRNA" "mito"
"35358" "LOC117681899" "uncharacterized LOC117681899_ncRNA" "mito"
"35359" "LOC109620147" "uncharacterized LOC109620147_ncRNA" "mito"
"35360" "LOC117681720" "uncharacterized LOC117681720_ncRNA" "mito"
"35361" "LOC117681723" "uncharacterized LOC117681723_ncRNA" "mito"
"35362" "LOC105339532" "uncharacterized LOC105339532_ncRNA" "mito"
"35363" "LOC117681626" "uncharacterized LOC117681626_ncRNA" "mito"
"35364" "LOC117681627" "uncharacterized LOC117681627_ncRNA" "mito"
"35365" "LOC117681631" "uncharacterized LOC117681631_ncRNA" "mito"
"35366" "LOC117681634" "uncharacterized LOC117681634_ncRNA" "mito"
"35367" "LOC117681635" "uncharacterized LOC117681635_ncRNA" "mito"
"35368" "LOC117681636" "uncharacterized LOC117681636_ncRNA" "mito"
"35369" "LOC109620923" "uncharacterized LOC109620923_ncRNA" "mito"
"35370" "LOC117681638" "uncharacterized LOC117681638_ncRNA" "mito"
"35371" "LOC105331309" "uncharacterized LOC105331309_ncRNA" "mito"
"35372" "LOC117681649" "uncharacterized LOC117681649_ncRNA" "mito"
"35373" "LOC117681648" "uncharacterized LOC117681648_ncRNA" "mito"
"35374" "LOC117681650" "uncharacterized LOC117681650_ncRNA" "mito"
"35375" "LOC117681651" "uncharacterized LOC117681651_ncRNA" "mito"
"35376" "LOC117681652" "uncharacterized LOC117681652_ncRNA" "mito"
"35377" "LOC105321673" "uncharacterized LOC105321673_ncRNA" "mito"
"35378" "LOC109617825" "uncharacterized LOC109617825_ncRNA" "mito"
"35379" "LOC117681656" "uncharacterized LOC117681656_ncRNA" "mito"
"35380" "LOC117681661" "uncharacterized LOC117681661_ncRNA" "mito"
"35381" "LOC117681667" "uncharacterized LOC117681667_ncRNA" "mito"
"35382" "LOC117681675" "uncharacterized LOC117681675_ncRNA" "mito"
"35383" "LOC109620657" "uncharacterized LOC109620657_ncRNA" "mito"
"35384" "LOC117681679" "uncharacterized LOC117681679_ncRNA" "mito"
"35385" "LOC105342761" "uncharacterized LOC105342761_ncRNA" "mito"
"35386" "LOC117681027" "uncharacterized LOC117681027_ncRNA" "mito"
"35387" "LOC117681029" "uncharacterized LOC117681029_ncRNA" "mito"
"35388" "LOC117681034" "uncharacterized LOC117681034_ncRNA" "mito"
"35389" "LOC117681035" "uncharacterized LOC117681035_ncRNA" "mito"
"35390" "LOC117681036" "uncharacterized LOC117681036_ncRNA" "mito"
"35391" "Trnam-cau_29" NA "mito"
"35392" "LOC117681038" "uncharacterized LOC117681038_ncRNA" "mito"
"35393" "LOC117681045" "uncharacterized LOC117681045_ncRNA" "mito"
"35394" "LOC117681046" "uncharacterized LOC117681046_ncRNA" "mito"
"35395" "LOC117681049" "uncharacterized LOC117681049_ncRNA" "mito"
"35396" "Trnar-ccu_11" NA "mito"
"35397" "LOC117681057" "uncharacterized LOC117681057_ncRNA" "mito"
"35398" "LOC117681058" "uncharacterized LOC117681058_ncRNA" "mito"
"35399" "LOC105327460" "uncharacterized LOC105327460_ncRNA" "mito"
"35400" "LOC105327462" "uncharacterized LOC105327462_ncRNA" "mito"
"35401" "LOC105322513" "uncharacterized LOC105322513_ncRNA" "mito"
"35402" "LOC105348222" "uncharacterized LOC105348222_ncRNA" "mito"
"35403" "LOC117681517" "uncharacterized LOC117681517_ncRNA" "mito"
"35404" "LOC105348225" "uncharacterized LOC105348225_ncRNA" "mito"
"35405" "LOC105348229" "uncharacterized LOC105348229_ncRNA" "mito"
"35406" "LOC105348228" "uncharacterized LOC105348228_ncRNA" "mito"
"35407" "LOC109621213" "uncharacterized LOC109621213_ncRNA" "mito"
"35408" "LOC117681519" "uncharacterized LOC117681519_ncRNA" "mito"
"35409" "LOC117681179" "uncharacterized LOC117681179_ncRNA" "mito"
"35410" "LOC117681546" "uncharacterized LOC117681546_ncRNA" "mito"
"35411" "LOC117681773" "uncharacterized LOC117681773_ncRNA" "mito"
